time,height,data_label
2022-04-24 00:00:57.622971805+03:00,0.78,0
2022-04-24 00:06:05.035348701+03:00,0.78,0
2022-04-24 00:11:12.446099955+03:00,0.77,0
2022-04-24 00:16:19.878671147+03:00,0.77,0
2022-04-24 00:21:27.280091762+03:00,0.77,0
2022-04-24 00:26:34.694884884+03:00,0.77,0
2022-04-24 00:31:42.160664138+03:00,0.76,0
2022-04-24 00:36:49.531866221+03:00,0.76,0
2022-04-24 00:41:56.943882100+03:00,0.77,0
2022-04-24 00:47:04.392426375+03:00,0.76,0
2022-04-24 00:52:11.810498495+03:00,0.76,0
2022-04-24 00:57:19.229026188+03:00,0.76,0
2022-04-24 01:02:26.643801115+03:00,0.76,0
2022-04-24 01:07:34.062749847+03:00,0.75,0
2022-04-24 01:12:41.469438680+03:00,0.75,0
2022-04-24 01:17:48.883633587+03:00,0.75,0
2022-04-24 01:22:56.315615356+03:00,0.75,0
2022-04-24 01:28:03.720700473+03:00,0.75,0
2022-04-24 01:33:11.131803969+03:00,0.75,0
2022-04-24 01:38:18.552669601+03:00,0.75,0
2022-04-24 01:43:25.959655950+03:00,0.75,0
2022-04-24 01:48:33.403337236+03:00,0.75,0
2022-04-24 01:53:40.791622332+03:00,0.75,0
2022-04-24 01:58:48.212738661+03:00,0.75,0
2022-04-24 02:03:55.623157914+03:00,0.75,0
2022-04-24 02:09:03.037966302+03:00,0.74,0
2022-04-24 02:14:10.454084317+03:00,0.74,0
2022-04-24 02:19:17.867220876+03:00,0.74,0
2022-04-24 02:24:25.285116385+03:00,0.74,0
2022-04-24 02:29:32.744113700+03:00,0.74,0
2022-04-24 02:34:40.118326448+03:00,0.74,0
2022-04-24 02:39:47.527538194+03:00,0.73,0
2022-04-24 02:44:54.940744840+03:00,0.74,0
2022-04-24 02:50:02.359220512+03:00,0.74,0
2022-04-24 02:55:09.773850501+03:00,0.74,0
2022-04-24 03:00:17.188338207+03:00,0.74,0
2022-04-24 03:05:24.605482211+03:00,0.74,0
2022-04-24 03:10:32.019603852+03:00,0.73,0
2022-04-24 03:15:39.597588373+03:00,0.73,0
2022-04-24 03:20:46.801529687+03:00,0.74,0
2022-04-24 03:25:54.213593042+03:00,0.74,0
2022-04-24 03:31:01.634421506+03:00,0.73,0
2022-04-24 03:36:09.050043531+03:00,0.74,0
2022-04-24 03:41:16.462388077+03:00,0.74,0
2022-04-24 03:46:23.890314894+03:00,0.73,0
2022-04-24 03:51:31.293404634+03:00,0.73,0
2022-04-24 03:56:38.730530934+03:00,0.73,0
2022-04-24 04:01:46.157632333+03:00,0.73,0
2022-04-24 04:06:53.554239783+03:00,0.73,0
2022-04-24 04:12:00.953307296+03:00,0.74,0
2022-04-24 04:17:08.371012762+03:00,0.73,0
2022-04-24 04:22:15.778557184+03:00,0.73,0
2022-04-24 04:27:23.207853742+03:00,0.73,0
2022-04-24 04:32:30.610805668+03:00,0.73,0
2022-04-24 04:37:38.029606047+03:00,0.73,0
2022-04-24 04:42:45.446221650+03:00,0.72,0
2022-04-24 04:47:52.856803381+03:00,0.73,0
2022-04-24 04:53:00.275133848+03:00,0.73,0
2022-04-24 04:58:07.719902190+03:00,0.71,0
2022-04-24 05:03:15.107395254+03:00,0.73,0
2022-04-24 05:08:22.517545847+03:00,0.73,0
2022-04-24 05:13:29.935976778+03:00,0.73,0
2022-04-24 05:18:37.358338810+03:00,0.73,0
2022-04-24 05:23:44.764168976+03:00,0.73,0
2022-04-24 05:28:52.181715100+03:00,0.73,0
2022-04-24 05:33:59.596073451+03:00,0.73,0
2022-04-24 05:39:07.005918790+03:00,0.73,0
2022-04-24 05:44:14.418882267+03:00,0.74,0
2022-04-24 05:49:21.836088189+03:00,0.73,0
2022-04-24 05:54:29.251528697+03:00,0.73,0
2022-04-24 05:59:36.669652212+03:00,0.73,0
2022-04-24 06:04:44.083744987+03:00,0.73,0
2022-04-24 06:09:51.516312291+03:00,0.73,0
2022-04-24 06:14:58.916859773+03:00,0.74,0
2022-04-24 06:20:06.331789760+03:00,0.73,0
2022-04-24 06:25:13.748407959+03:00,0.72,0
2022-04-24 06:30:21.160020417+03:00,0.73,0
2022-04-24 06:35:28.576436646+03:00,0.73,0
2022-04-24 06:40:35.996019890+03:00,0.72,0
2022-04-24 06:45:43.410813422+03:00,0.73,0
2022-04-24 06:50:50.816335076+03:00,0.73,0
2022-04-24 06:55:58.229747894+03:00,0.73,0
2022-04-24 07:01:05.651984739+03:00,0.72,0
2022-04-24 07:06:13.066998670+03:00,0.72,0
2022-04-24 07:11:20.477121489+03:00,0.72,0
2022-04-24 07:16:27.895685780+03:00,0.72,0
2022-04-24 07:21:35.307877902+03:00,0.71,0
2022-04-24 07:26:42.723927236+03:00,0.72,0
2022-04-24 07:31:50.147653586+03:00,0.72,0
2022-04-24 07:36:57.551997960+03:00,0.73,0
2022-04-24 07:42:04.987493714+03:00,0.72,0
2022-04-24 07:47:12.389144949+03:00,0.72,0
2022-04-24 07:52:19.800890619+03:00,0.72,0
2022-04-24 07:57:27.210058065+03:00,0.72,0
2022-04-24 08:02:34.625762979+03:00,0.69,1
2022-04-24 08:07:42.048875295+03:00,0.72,0
2022-04-24 08:12:49.453067834+03:00,0.72,0
2022-04-24 08:17:56.867648398+03:00,0.72,0
2022-04-24 08:23:04.289187459+03:00,0.72,0
2022-04-24 08:28:11.705295146+03:00,0.72,0
2022-04-24 08:33:19.117052441+03:00,0.72,0
2022-04-24 08:38:26.534826448+03:00,0.72,0
2022-04-24 08:43:33.946092028+03:00,0.72,0
2022-04-24 08:48:41.356681092+03:00,0.72,0
2022-04-24 08:53:48.774044934+03:00,0.71,0
2022-04-24 08:58:56.192075288+03:00,0.72,0
2022-04-24 09:04:03.640289125+03:00,0.72,0
2022-04-24 09:09:11.024715893+03:00,0.71,0
2022-04-24 09:14:18.436387430+03:00,0.72,0
2022-04-24 09:19:25.852297157+03:00,0.71,0
2022-04-24 09:24:33.271479454+03:00,0.72,0
2022-04-24 09:29:40.677064874+03:00,0.71,0
2022-04-24 09:34:48.143975378+03:00,0.72,0
2022-04-24 09:39:55.518702531+03:00,0.72,0
2022-04-24 09:45:02.924023535+03:00,0.72,0
2022-04-24 09:50:10.345357761+03:00,0.71,0
2022-04-24 09:55:17.753066144+03:00,0.72,0
2022-04-24 10:00:25.172197766+03:00,0.72,0
2022-04-24 10:05:32.586951635+03:00,0.71,0
2022-04-24 10:10:40.029124646+03:00,0.71,0
2022-04-24 10:15:47.421379527+03:00,0.72,0
2022-04-24 10:20:54.824158061+03:00,0.72,0
2022-04-24 10:26:02.242867381+03:00,0.71,0
2022-04-24 10:31:09.659833841+03:00,0.72,0
2022-04-24 10:36:17.074236448+03:00,0.72,0
2022-04-24 10:41:24.495057184+03:00,0.72,0
2022-04-24 10:46:31.905448056+03:00,0.71,0
2022-04-24 10:51:39.321895735+03:00,0.71,0
2022-04-24 10:56:46.734104681+03:00,0.71,0
2022-04-24 11:01:54.150967806+03:00,0.71,0
2022-04-24 11:07:01.565641066+03:00,0.71,0
2022-04-24 11:12:08.975265960+03:00,0.71,0
2022-04-24 11:17:16.393762647+03:00,0.71,0
2022-04-24 11:22:23.808809641+03:00,0.71,0
2022-04-24 11:27:31.246809657+03:00,0.71,0
2022-04-24 11:32:38.637496218+03:00,0.71,0
2022-04-24 11:37:46.054210572+03:00,0.71,0
2022-04-24 11:42:53.467327107+03:00,0.89,1
2022-04-24 11:48:00.882369446+03:00,0.71,0
2022-04-24 11:53:08.315463176+03:00,0.71,0
2022-04-24 11:58:15.716378203+03:00,0.7,0
2022-04-24 12:03:23.130768545+03:00,0.7,0
2022-04-24 12:08:30.544442121+03:00,0.7,0
2022-04-24 12:13:37.957788736+03:00,0.7,0
2022-04-24 12:18:45.376890088+03:00,0.71,0
2022-04-24 12:23:52.790737503+03:00,0.71,0
2022-04-24 12:29:00.205669301+03:00,0.71,0
2022-04-24 12:34:07.616860941+03:00,0.7,0
2022-04-24 12:39:15.035816025+03:00,0.7,0
2022-04-24 12:44:22.449492012+03:00,0.7,0
2022-04-24 12:49:29.988236686+03:00,0.7,0
2022-04-24 12:54:37.276759367+03:00,0.7,0
2022-04-24 12:59:44.737533842+03:00,0.69,0
2022-04-24 13:04:52.130712885+03:00,0.7,0
2022-04-24 13:09:59.523000062+03:00,0.7,0
2022-04-24 13:15:06.939176384+03:00,0.69,0
2022-04-24 13:20:14.364163609+03:00,0.69,0
2022-04-24 13:25:21.770535791+03:00,0.69,0
2022-04-24 13:30:29.181911621+03:00,0.69,0
2022-04-24 13:35:36.602371170+03:00,0.69,0
2022-04-24 13:40:44.010616528+03:00,0.69,0
2022-04-24 13:45:51.426324020+03:00,0.69,0
2022-04-24 13:50:58.844701887+03:00,0.69,0
2022-04-24 13:56:06.272667680+03:00,0.68,0
2022-04-24 14:01:13.707898001+03:00,0.69,0
2022-04-24 14:06:21.094676545+03:00,0.69,0
2022-04-24 14:11:28.507638758+03:00,0.68,0
